team,striker
Pakistan,Shahzaib Hasan
Pakistan,Shan Masood
Pakistan,Sharjeel Khan
Pakistan,Shoaib Malik
Pakistan,Sohaib Maqsood
Pakistan,Sohail Tanvir
Pakistan,Umar Akmal
Pakistan,Umar Amin
Pakistan,Umar Gul
Pakistan,Usman Khan
Pakistan,Wahab Riaz
Pakistan,Younis Khan
Panama,A Natubhai Ahir
Panama,AM Patel
Panama,Breeze Ahir
Panama,FL Patel
Panama,Irfan Hafejee
Panama,M Sohel Patel
Panama,Mahmud Jasat
Panama,RDB Ahir
Panama,Yusuf Ebrahim
Papua New Guinea,A Vala
Papua New Guinea,CA Soper
Papua New Guinea,CJA Amini
Papua New Guinea,H Hiri
Papua New Guinea,K Doriga
Papua New Guinea,KV Morea
Papua New Guinea,L Siaka
Papua New Guinea,N Vanua
Papua New Guinea,R Hekure
Papua New Guinea,S Bau
Papua New Guinea,TP Ura
Philippines,AS Samra
Philippines,DC Smith
Philippines,HER Tyler
Philippines,Huzaifa Mohammed
Philippines,J Alegra
Philippines,M Podosky
Portugal,ARA Chambers
Portugal,Amandeep Singh
Portugal,Amir Zaib
Portugal,Azhar Andani
Portugal,F Stoman
Portugal,J Vijay
Portugal,Kuldeep
Portugal,Najjam Shahzad
Portugal,Sirajullah Khadim
Portugal,Suman Ghimire
Portugal,Zohaib Sarwar
Qatar,H Rathod
Qatar,I Liyanage
Qatar,Ikramullah Khan
Qatar,Mohammad Ahnaff
Qatar,Mohammad Rizlan
Qatar,Muhammad Tanveer
Qatar,Saqlain Arshad
Romania,Abdul Shakoor
Romania,Asif Bevinje
Romania,G Manan
Romania,Ijaz Hussain
Romania,R Satheesan
Romania,S Nadigotla
Romania,S Periyalwar
Romania,S Vashisht
Romania,Taranjeet Singh
Romania,V Saini
Rwanda,C Rububagumya
Rwanda,D Gumyusenge
Rwanda,D Ndikubwimana
Rwanda,E Dusingizimana
Rwanda,E Kubwimana
Rwanda,E Niyomugabo
Rwanda,E Rukiriza
Rwanda,E Sebareme
Rwanda,I Ntirenganya
Rwanda,K Irakoze
Rwanda,M Akayezu
Rwanda,Muhammad Nadir
Rwanda,O Manishimwe
Rwanda,O Tuyisenge
Rwanda,W Niyitanga
Rwanda,Z Bimenyimana
Samoa,CK Jasmat
Samoa,F Suluoto
Samoa,S Cotter
Samoa,SF Tiai
Saudi Arabia,Abdul Waheed
Saudi Arabia,Faisal Khan
Saudi Arabia,Hisham Sheikh
Saudi Arabia,Ishtiaq Ahmad
Saudi Arabia,Manan Ali
Saudi Arabia,Saad Khan
Saudi Arabia,Usman Khalid
Saudi Arabia,Usman Najeeb
Saudi Arabia,Waji Ul Hassan
Saudi Arabia,Zain Ul Abidin
Scotland,BJ McMullen
Scotland,CD Wallace
Scotland,CN Greaves
Scotland,CS MacLeod
Scotland,HG Munsey
Scotland,J Jarvis
Scotland,JH Davey
Scotland,KJ Coetzer
Scotland,MA Jones
Scotland,MA Leask
Scotland,MH Cross
Scotland,MRJ Watt
Scotland,OJ Hairs
Scotland,RD Berrington
Scotland,SM Sharif
Serbia,A Dizija
Serbia,A Mene-Ejegi
Serbia,LA Dunbar
Serbia,N Zimonjic
Serbia,NR Johns-Wickberg
Serbia,V Zimonjic
Serbia,WAE Burton
Sierra Leone,A Gbla
Sierra Leone,A Kainessie
Sierra Leone,A Turay
Sierra Leone,C Bah
Sierra Leone,G Ngegba
Sierra Leone,G Sesay
Sierra Leone,J Bangura
Sierra Leone,L Lamin
Sierra Leone,M Kpaka
Sierra Leone,R Coker
Sierra Leone,S Conteh
Singapore,AR Puri
Singapore,Aman Desai
Singapore,Amjad Mahboob
Singapore,Aritra Dutta
Singapore,Avi Dixit
Singapore,Janak Prakash
Singapore,Manpreet Singh
Singapore,NMS Param
Singapore,R Gaznavi
Singapore,R Rohan
Singapore,S Chandramohan
Singapore,Sidhant Singh
Singapore,TH David
Singapore,U Aryaman Sunil
Singapore,V Baskaran
Slovenia,S Koppolu
Slovenia,Shahid Arshad
Slovenia,Taher Muhammad
South Africa,AB de Villiers
South Africa,AK Markram
South Africa,AL Phehlukwayo
South Africa,BC Fortuin
South Africa,CH Morris
South Africa,D Pretorius
South Africa,D Wiese
South Africa,DA Miller
South Africa,F Behardien
South Africa,F du Plessis
South Africa,GC Smith
South Africa,GF Linde
South Africa,H Davids
South Africa,H Klaasen
South Africa,HE van der Dussen
South Africa,HH Gibbs
South Africa,HM Amla
South Africa,J Botha
South Africa,JA Morkel
South Africa,JH Kallis
South Africa,JL Ontong
South Africa,JN Malan
South Africa,JP Duminy
South Africa,JT Smuts
South Africa,K Rabada
South Africa,LE Bosman
South Africa,MV Boucher
South Africa,Q de Kock
South Africa,RE Levi
South Africa,RJ Peterson
South Africa,RR Hendricks
South Africa,RR Rossouw
South Africa,T Bavuma
South Africa,T Stubbs
South Africa,WD Parnell
Spain,Awais Ahmed
Spain,C Munoz-Mills
Spain,D Doyle-Calle
Spain,Hamza Dar
Spain,LA Burns
Spain,Mohammad Ihsan
Spain,Mohammad Kamran
Spain,Yasir Ali
Sri Lanka,A Dananjaya
Sri Lanka,AD Mathews
Sri Lanka,BKG Mendis
Sri Lanka,BMAJ Mendis
Sri Lanka,C Karunaratne
Sri Lanka,CK Kapugedera
Sri Lanka,DM de Silva
Sri Lanka,DPMD Jayawardene
Sri Lanka,GSNFG Jayasuriya
Sri Lanka,HDRL Thirimanne
Sri Lanka,I Udana
Sri Lanka,J Mubarak
Sri Lanka,KC Sangakkara
Sri Lanka,KIC Asalanka
Sri Lanka,KMDN Kulasekara
Sri Lanka,LD Chandimal
Sri Lanka,LPC Silva
Sri Lanka,M Theekshana
Sri Lanka,MD Gunathilaka
Sri Lanka,MD Shanaka
Sri Lanka,MDKJ Perera
Sri Lanka,N Dickwella
Sri Lanka,NLTC Perera
Sri Lanka,P Nissanka
Sri Lanka,PBB Rajapaksa
Sri Lanka,PHKD Mendis
Sri Lanka,PVD Chameera
Sri Lanka,PWH de Silva
Sri Lanka,S Prasanna
Sri Lanka,S Samarawickrama
Sri Lanka,SL Malinga
Sri Lanka,ST Jayasuriya
Sri Lanka,TAM Siriwardana
Sri Lanka,TM Dilshan
Sri Lanka,WIA Fernando
Sri Lanka,WU Tharanga
Sweden,W Boshoff
Switzerland,Ali Nayyer
Switzerland,Arjun Vinod
